cycle, line, pc, inst, gpio_8, gpio_9, gpio_10, gpio_12, gpio_16, gpio_17, irq, x, y, isr_bitctr, isr, osr_bitctr, osr, txfifo_num, txfifo[0], txfifo[1], txfifo[2], txfifo[3], rxfifo_num, rxfifo[0], rxfifo[1], rxfifo[2], rxfifo[3]
1, 2, 0x00, "wait 0 pin 0x00 side 0x01", 1, 0, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
2, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
3, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
4, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
5, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
6, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
7, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
8, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
9, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
10, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 1, 0x00008001, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
11, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 1, 0x00008001, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
12, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 2, 0x00008001, 0x00008002, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
13, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 2, 0x00008001, 0x00008002, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
14, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 3, 0x00008001, 0x00008002, 0x00008003, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
15, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 3, 0x00008001, 0x00008002, 0x00008003, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
16, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 4, 0x00008001, 0x00008002, 0x00008003, 0x00008004, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
17, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 4, 0x00008001, 0x00008002, 0x00008003, 0x00008004, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
18, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 4, 0x00008001, 0x00008002, 0x00008003, 0x00008004, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
19, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 0, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 4, 0x00008001, 0x00008002, 0x00008003, 0x00008004, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
20, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 0, 1, 0, 0x00, 0x00000000, 0x00000000, 0, 0x00000000, 32, 0x00000000, 4, 0x00008001, 0x00008002, 0x00008003, 0x00008004, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
21, 4, 0x02, "set y 0x04 side 0x00", 0, 0, 0, 0, 1, 0, 0x00, 0x00000000, 0x00000004, 0, 0x00000000, 32, 0x00000000, 4, 0x00008001, 0x00008002, 0x00008003, 0x00008004, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
22, 6, 0x03, "pull block side 0x03", 1, 1, 0, 0, 1, 0, 0x00, 0x00000000, 0x00000004, 0, 0x00000000, 0, 0x00008001, 3, 0x00008002, 0x00008003, 0x00008004, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
23, 7, 0x04, "mov x !osr side 0x04 [1]", 0, 0, 1, 0, 1, 0, 0x00, 0xffff7ffe, 0x00000004, 0, 0x00000000, 0, 0x00008001, 3, 0x00008002, 0x00008003, 0x00008004, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
24, 8, 0x05, "delay", 0, 0, 1, 0, 1, 0, 0x00, 0xffff7ffe, 0x00000004, 0, 0x00000000, 0, 0x00008001, 3, 0x00008002, 0x00008003, 0x00008004, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
25, 8, 0x05, "out pins 0x01 side 0x00", 0, 0, 0, 1, 1, 0, 0x00, 0xffff7ffe, 0x00000004, 0, 0x00000000, 1, 0x00004000, 3, 0x00008002, 0x00008003, 0x00008004, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
26, 9, 0x06, "in x 0x20", 0, 0, 0, 1, 1, 0, 0x00, 0xffff7ffe, 0x00000004, 32, 0xffff7ffe, 1, 0x00004000, 3, 0x00008002, 0x00008003, 0x00008004, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
27, 10, 0x07, "push block side 0x05", 1, 0, 1, 1, 1, 0, 0x00, 0xffff7ffe, 0x00000004, 0, 0x00000000, 1, 0x00004000, 3, 0x00008002, 0x00008003, 0x00008004, 0x00000000, 1, 0xffff7ffe, 0x00000000, 0x00000000, 0x00000000
28, 11, 0x08, "jmp y-- loop_top side 0x00", 0, 0, 0, 1, 1, 0, 0x00, 0xffff7ffe, 0x00000003, 0, 0x00000000, 1, 0x00004000, 3, 0x00008002, 0x00008003, 0x00008004, 0x00000000, 1, 0xffff7ffe, 0x00000000, 0x00000000, 0x00000000
29, 6, 0x03, "pull block side 0x03", 1, 1, 0, 1, 1, 0, 0x00, 0xffff7ffe, 0x00000003, 0, 0x00000000, 0, 0x00008002, 2, 0x00008003, 0x00008004, 0x00000000, 0x00000000, 1, 0xffff7ffe, 0x00000000, 0x00000000, 0x00000000
30, 7, 0x04, "mov x !osr side 0x04 [1]", 0, 0, 1, 1, 1, 0, 0x00, 0xffff7ffd, 0x00000003, 0, 0x00000000, 0, 0x00008002, 2, 0x00008003, 0x00008004, 0x00000000, 0x00000000, 1, 0xffff7ffe, 0x00000000, 0x00000000, 0x00000000
31, 8, 0x05, "delay", 0, 0, 1, 1, 1, 0, 0x00, 0xffff7ffd, 0x00000003, 0, 0x00000000, 0, 0x00008002, 2, 0x00008003, 0x00008004, 0x00000000, 0x00000000, 1, 0xffff7ffe, 0x00000000, 0x00000000, 0x00000000
32, 8, 0x05, "out pins 0x01 side 0x00", 0, 0, 0, 0, 1, 0, 0x00, 0xffff7ffd, 0x00000003, 0, 0x00000000, 1, 0x00004001, 2, 0x00008003, 0x00008004, 0x00000000, 0x00000000, 1, 0xffff7ffe, 0x00000000, 0x00000000, 0x00000000
33, 9, 0x06, "in x 0x20", 0, 0, 0, 0, 1, 0, 0x00, 0xffff7ffd, 0x00000003, 32, 0xffff7ffd, 1, 0x00004001, 2, 0x00008003, 0x00008004, 0x00000000, 0x00000000, 1, 0xffff7ffe, 0x00000000, 0x00000000, 0x00000000
34, 10, 0x07, "push block side 0x05", 1, 0, 1, 0, 1, 0, 0x00, 0xffff7ffd, 0x00000003, 0, 0x00000000, 1, 0x00004001, 2, 0x00008003, 0x00008004, 0x00000000, 0x00000000, 2, 0xffff7ffe, 0xffff7ffd, 0x00000000, 0x00000000
35, 11, 0x08, "jmp y-- loop_top side 0x00", 0, 0, 0, 0, 1, 0, 0x00, 0xffff7ffd, 0x00000002, 0, 0x00000000, 1, 0x00004001, 2, 0x00008003, 0x00008004, 0x00000000, 0x00000000, 2, 0xffff7ffe, 0xffff7ffd, 0x00000000, 0x00000000
